iter	RMSE
450	31928.14396
451	31926.6551
452	31925.34021
453	31923.316
454	31922.4026
455	31919.94754
456	31780.91215
457	31780.05018
458	31768.61497
459	31765.20537
460	31762.6307
461	31761.32803
462	31751.00063
463	31749.1308
464	31747.47173
465	31744.97543
466	31394.00609
467	31391.1114
468	31388.17499
469	31042.03475
470	31040.2933
471	31039.10921
472	31037.63979
473	30697.07084
474	30695.58459
475	30693.29761
476	30691.4495
477	30689.60044
478	30686.81174
479	30628.23158
480	30625.66137
481	30621.9981
482	30620.49093
483	30617.57993
484	30615.78579
485	30613.01736
486	30276.48934
487	30080.74469
